A1,O
A2,Vdd
A3,Inc
A4,P
A5,P#
A8,PCo
B8,PCi
A9,Ret
A10,VPush
A15,Jump
A16,J
A17,S0
A18,S1
A19,S2
A20,S3
A22,RK
A23,RR
A24,RU
A25,RY
A26,RX
A27,RA
A28,Bling
A29,Vdd
A30,WA
A31,WX
A32,WY
A33,WU
A34,WR
A37,Ao
A38,Ao#
A40,phi
A41,B#
A42,B
A43,Z
A44,AS
A45,AR#
A46,OR
A47,AND
A48,N#
A50,Co#
B50,Ci#
A52,QE
A53,CR
A55,Vdd
A56,CS#
A57,CON
A59,Q
A61,K#
A62,I
B62,I#
B1,GND
B2,GND
B3,GND
B4,GND
B5,GND
B6,GND
B7,GND
B9,GND
B10,GND
B11,GND
B14,GND
B15,GND
B16,GND
B17,GND
B18,GND
B19,GND
B20,GND
B21,GND
B22,GND
B23,GND
B24,GND
B25,GND
B26,GND
B27,GND
B28,GND
B29,GND
B30,GND
B31,GND
B32,GND
B33,GND
B34,GND
B35,GND
B36,GND
B37,GND
B38,GND
B39,GND
B40,GND
B41,GND
B42,GND
B43,GND
B44,GND
B45,GND
B46,GND
B47,GND
B48,GND
B49,GND
B51,GND
B52,GND
B53,GND
B54,GND
B55,GND
B56,GND
B57,GND
B58,GND
B59,GND
B60,GND
B61,GND
